,tower_name,location_city,deck_height,tower_coordinates,ref_coordinates,ref_url
67,Sky Tower,Auckland,220.0,"[-36.848333333333336, 174.76222222222222]",wiki,https://en.wikipedia.org/wiki/Sky_Tower_(Auckland)
68,Tour Montparnasse,Paris,209.0,"[48.842222222222226, 2.321944444444444]",wiki,https://en.wikipedia.org/wiki/Tour_Montparnasse
69,Fernsehturm Berlin,Berlin,207.0,"[52.520833333333336, 13.409444444444444]",wiki,https://en.wikipedia.org/wiki/Fernsehturm_Berlin
70,Tokyo Metropolitan Government Building,Tokyo,202.0,"[35.689722222222215, 139.69222222222223]",wiki,https://en.wikipedia.org/wiki/Tokyo_Metropolitan_Government_Building
71,Main Tower,Frankfurt,200.0,"[50.11222222222222, 8.671944444444444]",wiki,https://en.wikipedia.org/wiki/Main_Tower
72,Marina Bay Sands,Singapore,200.0,"[1.2826499999999998, 103.85841666666666]",wiki,https://en.wikipedia.org/wiki/Marina_Bay_Sands
73,Olympiaturm,Munich,192.0,"[48.17444444444444, 11.553611111111111]",wiki,https://en.wikipedia.org/wiki/Olympiaturm
74,Mohammed VI Tower,Salé,190.0,"[34.028888888888886, -6.818611111111111]",wiki,https://en.wikipedia.org/wiki/Mohammed_VI_Tower
75,Vysotsky,Yekaterinburg,186.0,"[56.83613888888889, 60.61463888888889]",wiki,https://en.wikipedia.org/wiki/Vysotsky_(skyscraper)
76,Bitexco Financial Tower,Ho Chi Minh City,181.0,"[10.771666666666668, 106.70444444444445]",wiki,https://en.wikipedia.org/wiki/Bitexco_Financial_Tower
77,Tower of the Americas,San Antonio,176.0,"[29.41888888888889, -98.48361111111112]",wiki,https://en.wikipedia.org/wiki/Tower_of_the_Americas
78,Rheinturm,Düsseldorf,170.0,"[51.217777777777776, 6.761666666666667]",wiki,https://en.wikipedia.org/wiki/Rheinturm
79,Umeda Sky Building,Osaka,170.0,"[34.70527777777778, 135.4897222222222]",wiki,https://en.wikipedia.org/wiki/Umeda_Sky_Building
80,Tallinn TV Tower,Tallinn,170.0,"[59.47120555555556, 24.8875]",wiki,https://en.wikipedia.org/wiki/Tallinn_TV_Tower
81,Donauturm,Vienna,169.4,"[48.24, 16.410833333333333]",wiki,https://en.wikipedia.org/wiki/Donauturm
82,N Seoul Tower,Seoul,168.3,"[37.551424999999995, 126.988]",wiki,https://en.wikipedia.org/wiki/N_Seoul_Tower
